"blizzardId";"monture";"extensionMonture";"patch";"source";"difficulty";"motsClesMamytwink";"nombreCandidates";"zonesCandidates";"regionsCandidates";"zoneIdsCandidates";"extensionsCandidates";"statutRevue";"mamytwinkUrl";"wowheadUrl";"decisionManuelle";"zoneIdRetenue";"notes"
"958";"Pterreurdaile spectral";"bfa";"8.2";"Réputation";"Facile";"Empire Zandalari | Exalté | Zuldazar | Vol dans BFA";"2";"Zuldazar";"Zandalar";"8499 | 9570";"battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/renes-de-pterreurdaile-spectral";"https://www.wowhead.com/fr/item=161664";"";"";""
"1053";"Crogg des tréfonds Putrides";"bfa";"8.0";"Butin";"Difficile";"Monstruosité déchaînée | Les tréfonds Putrides";"2";"Les tréfonds Putrides";"Royaumes de l’Est";"8488 | 8525";"battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/harnais-de-crogg-des-trefonds-putrides";"https://www.wowhead.com/fr/item=160829";"";"";""
"1058";"Pterreurdactyle cobalt";"bfa";"8.0";"Réputation";"Facile";"Empire Zandalari | Exalté | Zuldazar";"2";"Zuldazar";"Zandalar";"8499 | 9570";"battle-for-azeroth";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/renes-de-pterreurdactyle-cobalt";"https://www.wowhead.com/fr/item=161665";"";"";""
"1173";"Mustang des hautes-terres dressé";"bfa";"8.0";"Butin";"Moyen";"Hautes-terres Arathies | Chevalier-capitaine Aldrin";"3";"Hautes-terres Arathies";"Royaumes de l’Est";"45 | 9168 | 14357";"vanilla | battle-for-azeroth | dragonflight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/mustang-des-hautes-terres-dresse";"https://www.wowhead.com/fr/item=163578";"";"";""
"1174";"Mustang des hautes-terres";"bfa";"8.0";"Butin";"Moyen";"Hautes-terres Arathies | Chevauche-malheur Sombrenfer";"3";"Hautes-terres Arathies";"Royaumes de l’Est";"45 | 9168 | 14357";"vanilla | battle-for-azeroth | dragonflight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/mustang-des-hautes-terres";"https://www.wowhead.com/fr/item=163579";"";"";""
"1180";"Raptor albinos véloce";"bfa";"8.0";"Butin";"Moyen";"Hautes-terres Arathies | Chevaucheur de bêtes Kama";"3";"Hautes-terres Arathies";"Royaumes de l’Est";"45 | 9168 | 14357";"vanilla | battle-for-azeroth | dragonflight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/raptor-albinos-veloce";"https://www.wowhead.com/fr/item=163644";"";"";""
"1182";"P’tit âne";"bfa";"8.0";"Butin";"Moyen";"Hautes-terres Arathies | Surveillant Krix";"3";"Hautes-terres Arathies";"Royaumes de l’Est";"45 | 9168 | 14357";"vanilla | battle-for-azeroth | dragonflight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/ptit-ane";"https://www.wowhead.com/fr/item=163646";"";"";""
"1183";"Arrache-Crâne";"bfa";"8.0";"Butin";"Moyen";"Hautes-terres Arathies";"3";"Hautes-terres Arathies";"Royaumes de l’Est";"45 | 9168 | 14357";"vanilla | battle-for-azeroth | dragonflight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/arrache-crane";"https://www.wowhead.com/fr/item=163645";"";"";""
"1185";"Redoutaile fanécorce";"bfa";"8.0";"Butin";"Moyen";"Hautes-terres Arathies | Nimar le Pourfendeur";"3";"Hautes-terres Arathies";"Royaumes de l’Est";"45 | 9168 | 14357";"vanilla | battle-for-azeroth | dragonflight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/redoutaile-fanecorce";"https://www.wowhead.com/fr/item=163706";"";"";""
"1297";"Couvée de Ha Li";"bfa";"8.3";"Butin";"Moyen";"Val de l'Éternel printemps | Assauts de N'Zoth";"2";"Val de l’Éternel printemps";"Pandarie";"5840 | 6733";"mists-of-pandaria";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/couvee-de-ha-li";"https://www.wowhead.com/fr/item=173887";"";"";""
"1311";"Serpent-nuage ivoire";"bfa";"8.3";"Butin";"Moyen";"Val de l'Éternel printemps | Lasso zan-tien | Assauts de N'Zoth";"2";"Val de l’Éternel printemps";"Pandarie";"5840 | 6733";"mists-of-pandaria";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/serpent-nuage-ivoire";"https://www.wowhead.com/fr/item=174752";"";"";""
"1313";"Serpent de guerre rajani";"bfa";"8.3";"Butin";"Moyen";"Rei Lun | Val de l'Éternel printemps | Écaille de serpent-nuage en parfait état | Assauts de N'Zoth";"2";"Val de l’Éternel printemps";"Pandarie";"5840 | 6733";"mists-of-pandaria";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/serpent-de-guerre-rajani";"https://www.wowhead.com/fr/item=174649";"";"";""
"1327";"Fidèle quilen de Ren";"bfa";"8.3";"Butin";"Moyen";"Grand-veneur Ren | Val de l'Éternel printemps | Assauts de N'Zoth";"2";"Val de l’Éternel printemps";"Pandarie";"5840 | 6733";"mists-of-pandaria";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/fidele-quilen-de-ren";"https://www.wowhead.com/fr/item=174841";"";"";""
"1328";"Xinlao";"bfa";"8.3";"Butin";"Moyen";"Anh De le Loyal | Val de l'Éternel printemps | Assauts de N'Zoth";"2";"Val de l’Éternel printemps";"Pandarie";"5840 | 6733";"mists-of-pandaria";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/xinlao";"https://www.wowhead.com/fr/item=174840";"";"";""
"1350";"Fauche-griffe colossal";"shadowlands";"9.0";"Réputation";"Moyen";"Maldraxxus | Réputation parangon | Fournitures de l'Armée immortelle";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/renes-du-fauche-griffe-colossal";"https://www.wowhead.com/fr/item=182081";"";"";""
"1365";"Tauralus peste-putride";"shadowlands";"9.0";"Congrégation";"Facile";"Maldraxxus | Nécro-seigneurs | Renom | Anima du réservoir";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/tauralus-peste-putride";"https://www.wowhead.com/fr/item=182076";"";"";""
"1366";"Tauralus sabot-d’os";"shadowlands";"9.0";"Congrégation";"Moyen";"Maldraxxus | Nécro-seigneurs | Tahonta | Renom";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/tauralus-sabot-dos";"https://www.wowhead.com/fr/item=182075";"";"";""
"1368";"Tauralus cuirassé dressé au combat";"shadowlands";"9.0";"Quête";"Facile";"Maldraxxus | Nécro-seigneurs | Assaut de la maison des Rituels";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/tauralus-cuirasse-dresse-au-combat";"https://www.wowhead.com/fr/item=181822";"";"";""
"1369";"Tauralus peste-putride cuirassé";"shadowlands";"9.0";"Congrégation";"Facile";"Maldraxxus | Nécro-seigneurs | Renom";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/tauralus-peste-putride-cuirasse";"https://www.wowhead.com/fr/item=181821";"";"";""
"1370";"Tauralus sabot-d’os cuirassé";"shadowlands";"9.0";"Congrégation";"Moyen";"Maldraxxus | Nécro-seigneurs | Sabrielle l’Ostéoclaste | Anima du réservoir";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/tauralus-sabot-dos-cuirasse";"https://www.wowhead.com/fr/item=181815";"";"";""
"1372";"Défenses-de-sang cloquéchine";"shadowlands";"9.0";"Butin";"Moyen";"Maldraxxus | Porteguerre Mal'korak";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/defenses-de-sang-cloquechine";"https://www.wowhead.com/fr/item=182085";"";"";""
"1373";"Tripépine";"shadowlands";"9.0";"Butin";"Moyen";"Maldraxxus | Nerissa Sans-Coeur";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/tripepine";"https://www.wowhead.com/fr/item=182084";"";"";""
"1375";"Défenses-de-sang macabre";"shadowlands";"9.0";"Réputation";"Facile";"Armée immortelle | Exalté | Maldraxxus";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/defenses-de-sang-macabre";"https://www.wowhead.com/fr/item=182082";"";"";""
"1411";"Pesteroc prédateur";"shadowlands";"9.0";"Congrégation";"Moyen";"Maldraxxus | Nécro-seigneurs | Gieger";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/pesteroc-predateur";"https://www.wowhead.com/fr/item=182080";"";"";""
"1437";"Chien de guerre lié par le combat";"shadowlands";"9.0";"Butin";"Moyen";"Maldraxxus | Théâtre de la Souffrance";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/renes-de-chien-de-guerre-lie-par-le-combat";"https://www.wowhead.com/fr/item=184062";"";"";""
"1445";"Serpent visqueux";"shadowlands";"9.0";"Secret";"Moyen";"Malpeste | Maldraxxus";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/serpent-visqueux";"https://www.wowhead.com/fr/mount/1445";"";"";""
"1483";"Mécaplaneur de vandale";"warWithin";"11.2";"Réputation";"Facile";"Renom | Vandales de la Manaforge | Ba'choso | K'aresh | Manaforge Oméga";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/mecaplaneur-de-vandale";"https://www.wowhead.com/fr/item=186640";"";"";""
"1495";"Mouche nécrophage maldraxxi";"shadowlands";"9.1";"Congrégation";"Facile";"Maldraxxus | Nécro-seigneurs | Renom";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/harnais-de-mouche-necrophage-maldraxxi";"https://www.wowhead.com/fr/item=186487";"";"";""
"1496";"Mouche nécrophage royale";"shadowlands";"9.1";"Congrégation";"Facile";"Maldraxxus | Nécro-seigneurs | Renom";"2";"Maldraxxus";"Ombreterre | Royaumes de l’Est";"11462 | 13178";"shadowlands";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/harnais-de-mouche-necrophage-royale";"https://www.wowhead.com/fr/item=186488";"";"";""
"2143";"Serpent d’empereur astral";"dragonflight";"10.2.7";"Haut-fait";"Facile";"Mists of Pandaria Remix | Val de l'Éternel printemps | Cours du temps : Pandamonium";"2";"Val de l’Éternel printemps";"Pandarie";"5840 | 6733";"mists-of-pandaria";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/renes-de-serpent-dempereur-astral";"https://www.wowhead.com/fr/mount/2143";"";"";""
"2158";"Disperseur de foule 2-30";"warWithin";"11.0";"Métier";"Moyen";"Ingénierie | Khaz Algar";"2";"Khaz Algar";"Khaz Algar | Royaumes de l’Est";"14665 | 14748";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/disperseur-de-foule-2-30";"https://www.wowhead.com/fr/item=221967";"";"";""
"2192";"Engeance de Beledar";"warWithin";"11.0";"Butin";"Facile";"Sainte-Chute | Engeance de Beledar | Khaz Algar";"3";"Khaz Algar | Sainte-Chute";"Khaz Algar | Royaumes de l’Est";"14665 | 14748 | 14838";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/engeance-de-beledar";"https://www.wowhead.com/fr/item=223315";"";"";""
"2230";"Goliath d’ivoire";"warWithin";"11.0";"Haut-fait";"Facile";"Gloire des Gouffres | Khaz Algar";"2";"Khaz Algar";"Khaz Algar | Royaumes de l’Est";"14665 | 14748";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/goliath-divoire";"https://www.wowhead.com/fr/item=224415";"";"";""
"2272";"Grogneur cuirassé cramoisi";"warWithin";"11.1";"Réputation";"Facile";"Cartel Baille-Fonds | Terremine | Rocco Razzboum";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/grogneur-cuirasse-cramoisi";"https://www.wowhead.com/fr/item=229935";"";"";""
"2274";"Frappeur des Flots noirs";"warWithin";"11.1";"Butin";"Facile";"Terremine | Trésor des Flots noirs | Cartel des Flots noirs";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/frappeur-des-flots-noirs";"https://www.wowhead.com/fr/item=229937";"";"";""
"2281";"Grossiste de Gentepression";"warWithin";"11.1";"Butin";"Facile";"Terremine | Trésor de Gentepression | Cartel de Gentepression";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/grossiste-de-gentepression";"https://www.wowhead.com/fr/mount/2281";"";"";""
"2283";"Investigateur d’innovations";"warWithin";"11.1";"Vendeur";"Facile";"Skedgit Cendrepan | Terremine | assortiments d'appareils";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/investigateur-dinnovations";"https://www.wowhead.com/fr/item=229941";"";"";""
"2284";"Fusée de livraison ocre";"warWithin";"11.1";"Réputation";"Facile";"Cartel KapitalRisk | Terremine | Shredz le Ferrailleur";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/fusee-de-livraison-ocre";"https://www.wowhead.com/fr/item=229946";"";"";""
"2286";"Déchiqueteur des Flots noirs de luxe mod. II";"warWithin";"11.1";"Réputation";"Facile";"Cartel des Flots noirs | Terremine | Maître d'équipage Hardee";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/dechiqueteur-des-flots-noirs-de-luxe-mod-ii";"https://www.wowhead.com/fr/item=229948";"";"";""
"2289";"Koordinatrice Kapitale";"warWithin";"11.1";"Butin";"Facile";"Terremine | Trésor de la KapitalRisk | Cartel KapitalRisk";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/koordinatrice-kapitale";"https://www.wowhead.com/fr/item=229951";"";"";""
"2290";"Réévaluateur de ressources";"warWithin";"11.1";"Vendeur";"Facile";"Skedgit Cendrepan | Terremine | assortiments d'appareils";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/reevaluateur-de-ressources";"https://www.wowhead.com/fr/item=229952";"";"";""
"2291";"Machine volante recyclée de Gobelin milliardaire";"warWithin";"11.1";"Butin";"Facile";"Détritus du Gallagio | Terremine | Tas de D.E.B.R.I.S.";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/machine-volante-recyclee-de-gobelin-milliardaire";"https://www.wowhead.com/fr/item=229953";"";"";""
"2292";"Manipulateur de marge";"warWithin";"11.1";"Vendeur";"Facile";"Skedgit Cendrepan | Terremine | assortiments d'appareils";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/manipulateur-de-marge";"https://www.wowhead.com/fr/item=229954";"";"";""
"2293";"Œil-espion imprégné de ténèbres";"warWithin";"11.1";"Butin";"Facile";"Précipitant imprégné de ténèbres | Solutions ténébreuses | Terremine";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/oeil-espion-impregne-de-tenebres";"https://www.wowhead.com/fr/item=229955";"";"";""
"2294";"Vilaine machine volante verte";"warWithin";"11.1";"Réputation";"Facile";"Cartel Gentepression | Terremine | Laborantin Laszly";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/vilaine-machine-volante-verte";"https://www.wowhead.com/fr/item=229956";"";"";""
"2295";"Bombardier de Baille-Fonds";"warWithin";"11.1";"Butin";"Facile";"Terremine | Trésor de Baille-Fonds | Cartel Baille-Fonds";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/bombardier-de-baille-fonds";"https://www.wowhead.com/fr/item=229957";"";"";""
"2296";"Gob-trotteur du Gouffre";"warWithin";"11.1";"Quête";"Facile";"Gouffres | Terremine | Brann Barbe-de-Bronze";"3";"Terremine | Gouffres";"Khaz Algar";"15347 | 15667 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/gob-trotteur-du-gouffre";"https://www.wowhead.com/fr/item=229974";"";"";""
"2334";"Déchiqueteur de vagues gobelin en bronze";"warWithin";"11.1";"Réputation";"Facile";"Trésor imprégné de ténèbres | Terremine | Solutions ténébreuses";"2";"Terremine";"Khaz Algar";"15347 | 16093";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/dechiqueteur-de-vagues-gobelin-en-bronze";"https://www.wowhead.com/fr/item=233064";"";"";""
"2505";"K’arroc resplendissant";"warWithin";"11.2";"Quête";"Facile";"K'aresh | L'espoir de Karesh | Expédition";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/karroc-resplendissant";"https://www.wowhead.com/fr/item=242713";"";"";""
"2511";"Terreur de la Nuit";"warWithin";"11.2";"Haut-fait";"Facile";"Défense civile | K'aresh | Mandats";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/terreur-de-la-nuit";"https://www.wowhead.com/fr/item=237485";"";"";""
"2549";"K’arroc ombreux";"warWithin";"11.2";"Haut-fait";"Moyen";"K'aresh | Manaforge Oméga";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/karroc-ombreux";"https://www.wowhead.com/fr/item=242714";"";"";""
"2550";"Vol-au-vent k’arroc";"warWithin";"11.2.7";"Quête";"Facile";"En route vers Tazavesh | une fois de plus | K'aresh";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/vol-au-vent-karroc";"https://www.wowhead.com/fr/item=242715";"";"";""
"2552";"K’arroc lavande";"warWithin";"11.2";"Vendeur";"Facile";"Plongée phasique | K'aresh | Shad'anis";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/karroc-lavande";"https://www.wowhead.com/fr/item=242717";"";"";""
"2555";"Le Geleur d’Ossements";"warWithin";"11.2";"Réputation";"Facile";"Renom | Vandales de la Manaforge | Ba'choso | K'aresh | Manaforge Oméga";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/le-geleur-dossements";"https://www.wowhead.com/fr/item=242728";"";"";""
"2557";"Rampant du Vide acide";"warWithin";"11.2";"Vendeur";"Facile";"Plongée phasique | K'aresh | Shad'anis";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/rampant-du-vide-acide";"https://www.wowhead.com/fr/item=242730";"";"";""
"2560";"Barry le Bleu";"warWithin";"11.2";"Quête";"Facile";"K'aresh | Un beau bleu | l'Entente de K'aresh | Ba'eth";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/barry-le-bleu";"https://www.wowhead.com/fr/item=242733";"";"";""
"2601";"Krolusk perlescent";"warWithin";"11.2";"Butin";"Facile";"K'aresh | Urmag";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/krolusk-perlescent";"https://www.wowhead.com/fr/item=246067";"";"";""
"2602";"Goinfre transposé";"warWithin";"11.2";"Butin";"Facile";"Tazavesh | K'aresh | Essaims de dévoreurs | cosse énergétique dévorée";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/goinfre-transpose";"https://www.wowhead.com/fr/item=246159";"";"";""
"2603";"Dernier déjeuner de Sthaarbs";"warWithin";"11.2";"Butin";"Facile";"K'aresh | Écodôme l'Oasis";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/dernier-dejeuner-de-sthaarbs";"https://www.wowhead.com/fr/item=246160";"";"";""
"2655";"Ardospine perdue dans la phase";"warWithin";"11.2";"Haut-fait";"Facile";"Plongée phasique | K'aresh";"2";"K’aresh";"Khaz Algar";"15336 | 16579";"the-war-within";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/ardospine-perdue-dans-la-phase";"https://www.wowhead.com/fr/item=250240";"";"";""
"2751";"Raie-tempête renforcée";"midnight";"12.0";"Butin";"Facile";"Créatures rares | Tempête du Vide";"2";"Tempête du Vide";"Quel’Thalas";"15458 | 16648";"midnight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/raie-tempete-renforcee";"https://www.wowhead.com/fr/item=257085";"";"";""
"2758";"Faucon-dragon cobalt";"midnight";"12.0";"Butin";"Facile";"Créatures rares | Bois des Chants éternels";"2";"Bois des Chants éternels";"Royaumes de l’Est | Quel’Thalas";"15173 | 15968";"midnight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/faucon-dragon-cobalt";"https://www.wowhead.com/fr/item=257147";"";"";""
"2762";"Faucon-pérégrin céruléen";"midnight";"12.0";"Butin";"Facile";"Créatures rares | Bois des Chants éternels";"2";"Bois des Chants éternels";"Royaumes de l’Est | Quel’Thalas";"15173 | 15968";"midnight";"Plusieurs candidates - choix manuel";"https://www.mamytwink.com/montures/faucon-peregrin-ceruleen";"https://www.wowhead.com/fr/item=257156";"";"";""
